SubjectID,AssignmentID,ProblemID,Attempts,CorrectEventually,Label
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,494,41,2,True,True
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,494,43,17,True,False
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,494,44,3,True,True
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,494,46,14,True,False
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,494,49,1,True,True
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,494,67,10,True,False
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,494,104,10,True,False
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,494,106,2,True,True
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,494,107,7,True,True
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,494,108,15,True,False
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,502,45,5,True,True
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,502,48,2,True,True
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,502,51,2,True,True
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,502,56,2,True,True
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,502,57,3,True,False
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,502,64,5,True,False
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,502,70,4,True,True
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,502,71,2,True,True
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,502,112,1,True,True
00358c94503a8d9e6869efc6e5cdb0e1c8e9eb39b1fd4670206aa82503a575dc,502,118,2,True,True
014604ba54339d4b1266cf78e125053a5ac11dd861ef3cc0b4ed777ed0e2af0a,494,41,3,True,True
014604ba54339d4b1266cf78e125053a5ac11dd861ef3cc0b4ed777ed0e2af0a,494,43,3,True,True
014604ba54339d4b1266cf78e125053a5ac11dd861ef3cc0b4ed777ed0e2af0a,494,44,1,True,True
014604ba54339d4b1266cf78e125053a5ac11dd861ef3cc0b4ed777ed0e2af0a,494,46,2,True,True
014604ba54339d4b1266cf78e125053a5ac11dd861ef3cc0b4ed777ed0e2af0a,494,49,1,True,True
014604ba54339d4b1266cf78e125053a5ac11dd861ef3cc0b4ed777ed0e2af0a,494,67,4,True,True
014604ba54339d4b1266cf78e125053a5ac11dd861ef3cc0b4ed777ed0e2af0a,494,104,5,True,True
014604ba54339d4b1266cf78e125053a5ac11dd861ef3cc0b4ed777ed0e2af0a,494,106,10,True,False
014604ba54339d4b1266cf78e125053a5ac11dd861ef3cc0b4ed777ed0e2af0a,494,107,1,True,True
014604ba54339d4b1266cf78e125053a5ac11dd861ef3cc0b4ed777ed0e2af0a,494,108,9,True,False
014604ba54339d4b1266cf78e125053a5ac11dd861ef3cc0b4ed777ed0e2af0a,502,45,5,True,True
014604ba54339d4b1266cf78e125053a5ac11dd861ef3cc0b4ed777ed0e2af0a,502,48,6,True,True
014604ba54339d4b1266cf78e125053a5ac11dd861ef3cc0b4ed777ed0e2af0a,502,51,7,True,False
014604ba54339d4b1266cf78e125053a5ac11dd861ef3cc0b4ed777ed0e2af0a,502,56,2,True,True
014604ba54339d4b1266cf78e125053a5ac11dd861ef3cc0b4ed777ed0e2af0a,502,57,1,True,True
014604ba54339d4b1266cf78e125053a5ac11dd861ef3cc0b4ed777ed0e2af0a,502,64,6,True,False
014604ba54339d4b1266cf78e125053a5ac11dd861ef3cc0b4ed777ed0e2af0a,502,70,12,True,False
014604ba54339d4b1266cf78e125053a5ac11dd861ef3cc0b4ed777ed0e2af0a,502,71,2,True,True
014604ba54339d4b1266cf78e125053a5ac11dd861ef3cc0b4ed777ed0e2af0a,502,112,2,True,True
014604ba54339d4b1266cf78e125053a5ac11dd861ef3cc0b4ed777ed0e2af0a,502,118,3,True,True
01e96e066eff2e82627dac0493737be2de9bd2f50d6d498bb6420906c7164c05,494,41,1,True,True
01e96e066eff2e82627dac0493737be2de9bd2f50d6d498bb6420906c7164c05,494,43,13,False,False
01e96e066eff2e82627dac0493737be2de9bd2f50d6d498bb6420906c7164c05,494,44,5,True,False
01e96e066eff2e82627dac0493737be2de9bd2f50d6d498bb6420906c7164c05,494,46,1,False,False
01e96e066eff2e82627dac0493737be2de9bd2f50d6d498bb6420906c7164c05,494,49,6,True,False
01e96e066eff2e82627dac0493737be2de9bd2f50d6d498bb6420906c7164c05,494,67,19,False,False
01e96e066eff2e82627dac0493737be2de9bd2f50d6d498bb6420906c7164c05,494,104,10,True,False
01e96e066eff2e82627dac0493737be2de9bd2f50d6d498bb6420906c7164c05,494,106,19,False,False
01e96e066eff2e82627dac0493737be2de9bd2f50d6d498bb6420906c7164c05,494,107,3,False,False
01e96e066eff2e82627dac0493737be2de9bd2f50d6d498bb6420906c7164c05,494,108,6,False,False
01e96e066eff2e82627dac0493737be2de9bd2f50d6d498bb6420906c7164c05,502,45,3,True,True
03000c72d4dd6a4be44ffc175dec5d9a15a83a2f8073b08b27be1fb7638cc466,494,41,4,True,False
03000c72d4dd6a4be44ffc175dec5d9a15a83a2f8073b08b27be1fb7638cc466,494,43,13,True,False
03000c72d4dd6a4be44ffc175dec5d9a15a83a2f8073b08b27be1fb7638cc466,494,44,3,True,True
03000c72d4dd6a4be44ffc175dec5d9a15a83a2f8073b08b27be1fb7638cc466,494,46,8,True,False
03000c72d4dd6a4be44ffc175dec5d9a15a83a2f8073b08b27be1fb7638cc466,494,49,9,True,False
03000c72d4dd6a4be44ffc175dec5d9a15a83a2f8073b08b27be1fb7638cc466,494,67,7,False,False
03000c72d4dd6a4be44ffc175dec5d9a15a83a2f8073b08b27be1fb7638cc466,494,104,4,True,True
03000c72d4dd6a4be44ffc175dec5d9a15a83a2f8073b08b27be1fb7638cc466,494,106,5,True,True
03000c72d4dd6a4be44ffc175dec5d9a15a83a2f8073b08b27be1fb7638cc466,494,107,12,True,False
03000c72d4dd6a4be44ffc175dec5d9a15a83a2f8073b08b27be1fb7638cc466,494,108,3,True,True
03000c72d4dd6a4be44ffc175dec5d9a15a83a2f8073b08b27be1fb7638cc466,502,45,12,True,False
03000c72d4dd6a4be44ffc175dec5d9a15a83a2f8073b08b27be1fb7638cc466,502,48,8,True,False
03000c72d4dd6a4be44ffc175dec5d9a15a83a2f8073b08b27be1fb7638cc466,502,51,23,True,False
03000c72d4dd6a4be44ffc175dec5d9a15a83a2f8073b08b27be1fb7638cc466,502,56,5,True,True
03000c72d4dd6a4be44ffc175dec5d9a15a83a2f8073b08b27be1fb7638cc466,502,57,3,True,False
03000c72d4dd6a4be44ffc175dec5d9a15a83a2f8073b08b27be1fb7638cc466,502,64,3,True,True
03000c72d4dd6a4be44ffc175dec5d9a15a83a2f8073b08b27be1fb7638cc466,502,70,17,True,False
03000c72d4dd6a4be44ffc175dec5d9a15a83a2f8073b08b27be1fb7638cc466,502,71,2,True,True
03000c72d4dd6a4be44ffc175dec5d9a15a83a2f8073b08b27be1fb7638cc466,502,112,2,True,True
03000c72d4dd6a4be44ffc175dec5d9a15a83a2f8073b08b27be1fb7638cc466,502,118,2,True,True
0461c96c9cc0058f709704605f24136f373ba4e9ac083a1157d0976f1b6e8419,494,41,2,True,True
0461c96c9cc0058f709704605f24136f373ba4e9ac083a1157d0976f1b6e8419,494,43,4,True,True
0461c96c9cc0058f709704605f24136f373ba4e9ac083a1157d0976f1b6e8419,494,44,1,True,True
0461c96c9cc0058f709704605f24136f373ba4e9ac083a1157d0976f1b6e8419,494,46,15,True,False
0461c96c9cc0058f709704605f24136f373ba4e9ac083a1157d0976f1b6e8419,494,49,11,True,False
0461c96c9cc0058f709704605f24136f373ba4e9ac083a1157d0976f1b6e8419,494,67,7,True,False
0461c96c9cc0058f709704605f24136f373ba4e9ac083a1157d0976f1b6e8419,494,104,5,False,False
0461c96c9cc0058f709704605f24136f373ba4e9ac083a1157d0976f1b6e8419,494,106,3,True,True
0461c96c9cc0058f709704605f24136f373ba4e9ac083a1157d0976f1b6e8419,494,107,36,True,False
0461c96c9cc0058f709704605f24136f373ba4e9ac083a1157d0976f1b6e8419,494,108,11,False,False
0461c96c9cc0058f709704605f24136f373ba4e9ac083a1157d0976f1b6e8419,502,45,9,True,False
0461c96c9cc0058f709704605f24136f373ba4e9ac083a1157d0976f1b6e8419,502,48,26,True,False
0461c96c9cc0058f709704605f24136f373ba4e9ac083a1157d0976f1b6e8419,502,51,12,False,False
0461c96c9cc0058f709704605f24136f373ba4e9ac083a1157d0976f1b6e8419,502,56,5,True,True
0461c96c9cc0058f709704605f24136f373ba4e9ac083a1157d0976f1b6e8419,502,57,1,True,True
0461c96c9cc0058f709704605f24136f373ba4e9ac083a1157d0976f1b6e8419,502,64,7,True,False
